SDA,sfy,demo,rgrp31,rgrp32,rgrp41,rgrp42,rgrp62,rgrp61,ord
El Paso SDA,2013,Female,0.4074074074,0.507165109,0.4375,0.5543183053,,,2
El Paso SDA,2013,White,0.037037037,0.0191588785,0.25,0.1216730038,,,3
El Paso SDA,2013,Black,0.0,0.0073208723,0.0,0.0228136882,,,4
El Paso SDA,2013,FFS,0.0185185185,0.0436137072,0.6875,0.3614883216,,,5
El Paso SDA,2013,Dual Eligible,0.0,0.0,0.0625,0.2015209125,,,6
El Paso SDA,2013,Comorbidity Index,0.4814814815,0.3066978193,1.6875,2.835415535,,,7
El Paso SDA,2014,N,132.0,6105.0,34.0,3084.0,,13.0,0
El Paso SDA,2014,Age,11.06613629,10.363806643,13.177646974,39.300785081,,52.900000646,1
El Paso SDA,2014,Female,0.4696969697,0.5141687142,0.3823529412,0.5434500649,,0.7692307692,2
El Paso SDA,2014,White,0.053030303,0.0234234234,0.0588235294,0.1076523995,,0.3076923077,3
El Paso SDA,2014,Black,0.053030303,0.0081900082,0.0588235294,0.0220492866,,0.0,4
El Paso SDA,2014,FFS,0.0606060606,0.048976249,0.9411764706,0.4192607004,,0.0,5
El Paso SDA,2014,Dual Eligible,0.0,0.0,0.0,0.2104409857,,0.0,6
El Paso SDA,2014,Comorbidity Index,0.9772727273,0.3325143325,1.0294117647,2.9319066148,,9.0769230769,7
El Paso SDA,2015,N,60.0,6141.0,161.0,1629.0,68.0,22.0,0
El Paso SDA,2015,Age,13.287999916,10.504375436,40.054037615,30.085003322,63.611765749,60.850000902,1
El Paso SDA,2015,Female,0.6166666667,0.5083862563,0.4596273292,0.4708410068,0.7058823529,0.8181818182,2
El Paso SDA,2015,White,0.0333333333,0.0265429083,0.1925465839,0.0908532842,0.1323529412,0.0909090909,3
El Paso SDA,2015,Black,0.0166666667,0.0107474353,0.0186335404,0.0239410681,0.0,0.0454545455,4
El Paso SDA,2015,FFS,0.0333333333,0.0105845953,0.2236024845,0.481276857,0.1323529412,0.0,5
El Paso SDA,2015,Dual Eligible,0.0,0.0,0.2857142857,0.1368937999,0.6029411765,0.2272727273,6
El Paso SDA,2015,Comorbidity Index,0.7166666667,0.388698909,4.1677018634,2.4818907305,5.6617647059,9.1818181818,7
El Paso SDA,2016,N,51.0,4863.0,105.0,1575.0,67.0,,0
El Paso SDA,2016,Age,12.703725403,10.714639039,39.605238451,29.695447841,60.6540309,,1
El Paso SDA,2016,Female,0.4509803922,0.5186099116,0.4476190476,0.459047619,0.776119403,,2
El Paso SDA,2016,White,0.0392156863,0.025293029,0.1047619048,0.073015873,0.1343283582,,3
El Paso SDA,2016,Black,0.0,0.0100760847,0.0285714286,0.0241269841,0.0149253731,,4
El Paso SDA,2016,FFS,0.0,0.0137775036,0.1523809524,0.4977777778,0.1044776119,,5
El Paso SDA,2016,Dual Eligible,0.0,0.0,0.180952381,0.1206349206,0.5074626866,,6
El Paso SDA,2016,Comorbidity Index,0.6862745098,0.4544519844,5.1523809524,2.5955555556,6.3432835821,,7
El Paso SDA,2017,N,82.0,4071.0,121.0,2104.0,,,0
El Paso SDA,2017,Age,13.703780407,10.949673224,36.334215306,32.892875749,,,1
El Paso SDA,2017,Female,0.5243902439,0.5097027757,0.4628099174,0.4828897338,,,2
El Paso SDA,2017,White,0.0243902439,0.0302137067,0.1157024793,0.0731939163,,,3
El Paso SDA,2017,Black,0.012195122,0.0117907148,0.0082644628,0.0270912548,,,4
El Paso SDA,2017,FFS,0.012195122,0.0184229919,0.0826446281,0.4358365019,,,5
El Paso SDA,2017,Dual Eligible,0.0,0.0,0.2314049587,0.1549429658,,,6
El Paso SDA,2017,Comorbidity Index,0.4512195122,0.4610660771,4.1404958678,2.7029467681,,,7
El Paso SDA,2018,N,285.0,4270.0,310.0,2578.0,130.0,39.0,0
El Paso SDA,2018,Age,10.813157821,11.123339506,34.553903476,32.913801672,73.255693817,78.445130079,1
El Paso SDA,2018,Female,0.3824561404,0.512412178,0.4129032258,0.4775019395,0.7076923077,0.8205128205,2
El Paso SDA,2018,White,0.0526315789,0.0346604215,0.0870967742,0.0737005431,0.1384615385,0.2051282051,3
El Paso SDA,2018,Black,0.0070175439,0.0093676815,0.0387096774,0.0236617533,0.0153846154,0.0256410256,4
El Paso SDA,2018,FFS,0.0140350877,0.0067915691,0.0322580645,0.0659425912,0.1384615385,0.0,5
El Paso SDA,2018,Dual Eligible,0.0,0.0,0.1419354839,0.1334367727,0.8461538462,1.0,6
El Paso SDA,2018,Comorbidity Index,0.8210526316,0.4744730679,3.2516129032,2.7726920093,5.3692307692,6.3846153846,7
Harris SDA,2013,N,730.0,8079.0,1119.0,4977.0,367.0,590.0,0
Harris SDA,2013,Age,13.420260197,9.7186606534,35.787730422,36.836030071,66.125042128,55.089136243,1
Harris SDA,2013,Female,0.4726027397,0.4962247803,0.4763181412,0.5298372514,0.7629427793,0.6694915254,2
Harris SDA,2013,White,0.3082191781,0.2624087139,0.2957998213,0.3023909986,0.242506812,0.2593220339,3
Harris SDA,2013,Black,0.3410958904,0.2137640797,0.3029490617,0.26039783,0.3242506812,0.4813559322,4
Harris SDA,2013,FFS,0.1164383562,0.0901101621,0.2689901698,0.390596745,0.2752043597,0.0016949153,5
Harris SDA,2013,Dual Eligible,0.0,0.0,0.1054512958,0.2431183444,0.8719346049,0.0169491525,6
Harris SDA,2013,Comorbidity Index,1.7753424658,0.3179848991,3.8865058088,2.6294956801,4.8474114441,6.986440678,7
Harris SDA,2014,N,767.0,6438.0,984.0,5357.0,19.0,155.0,0
Harris SDA,2014,Age,12.935071629,10.065341648,38.887205657,36.076795161,56.439474407,56.790065199,1
Harris SDA,2014,Female,0.4771838331,0.4871077975,0.4735772358,0.5191338436,0.7894736842,0.6322580645,2
Harris SDA,2014,White,0.2920469361,0.2702702703,0.2865853659,0.2723539294,0.4210526316,0.2451612903,3
Harris SDA,2014,Black,0.3259452412,0.2211867039,0.3028455285,0.2516333769,0.2105263158,0.4709677419,4
Harris SDA,2014,FFS,0.0625814863,0.1191363778,0.2276422764,0.4190778421,0.1578947368,0.0,5
Harris SDA,2014,Dual Eligible,0.0,0.0,0.1829268293,0.2372596603,0.2631578947,0.0129032258,6
Harris SDA,2014,Comorbidity Index,1.6870925684,0.4158123641,3.6727642276,2.5848422625,5.2105263158,7.264516129,7
Harris SDA,2015,N,535.0,10580.0,725.0,6828.0,329.0,67.0,0
Harris SDA,2015,Age,12.763831701,10.106224878,35.715945166,37.427613099,66.127569587,59.948359134,1
Harris SDA,2015,Female,0.4878504673,0.5008506616,0.4524137931,0.5316344464,0.6504559271,0.6119402985,2
Harris SDA,2015,White,0.2934579439,0.2211720227,0.2662068966,0.2349150557,0.188449848,0.0746268657,3
Harris SDA,2015,Black,0.3252336449,0.202173913,0.2731034483,0.25,0.2765957447,0.5373134328,4
Harris SDA,2015,FFS,0.1457943925,0.0468809074,0.2965517241,0.3983596954,0.1550151976,0.0447761194,5
Harris SDA,2015,Dual Eligible,0.0,0.0,0.2013793103,0.2344756883,0.7142857143,0.6417910448,6
Harris SDA,2015,Comorbidity Index,1.6859813084,0.3856332703,3.6110344828,2.8046280023,6.1519756839,6.9253731343,7
Harris SDA,2016,N,492.0,46605.0,809.0,13333.0,1165.0,200.0,0
Harris SDA,2016,Age,12.454573092,9.9302741472,35.25913504,25.717921861,59.07354604,67.985301418,1
Harris SDA,2016,Female,0.5304878049,0.4931015985,0.4635352287,0.4849621241,0.669527897,0.69,2
Harris SDA,2016,White,0.2784552846,0.1418088188,0.2187886279,0.1319282982,0.2274678112,0.055,3
Harris SDA,2016,Black,0.337398374,0.1816972428,0.2583436341,0.1635040876,0.3227467811,0.41,4
Harris SDA,2016,FFS,0.1768292683,0.0290741337,0.3634116193,0.5994149854,0.1519313305,0.02,5
Harris SDA,2016,Dual Eligible,0.0,0.0001501985,0.238566131,0.1269031726,0.4540772532,0.985,6
Harris SDA,2016,Comorbidity Index,1.7337398374,0.4474412617,4.2768850433,2.3027825696,5.1442060086,5.525,7
Harris SDA,2017,N,714.0,45679.0,677.0,16572.0,2269.0,472.0,0
Harris SDA,2017,Age,12.522492924,10.151251269,33.073323694,29.072697531,58.54356197,67.468391313,1
Harris SDA,2017,Female,0.4971988796,0.4886271591,0.4564254062,0.4656046343,0.6553547818,0.7033898305,2
Harris SDA,2017,White,0.2647058824,0.1412246328,0.2008862629,0.1358918658,0.1846628471,0.1292372881,3
Harris SDA,2017,Black,0.3907563025,0.1713259923,0.282127031,0.2021482018,0.3437637726,0.3601694915,4
Harris SDA,2017,FFS,0.1764705882,0.0297510891,0.1506646972,0.5109823799,0.1485235787,0.0423728814,5
Harris SDA,2017,Dual Eligible,0.0,4.37838e-05,0.1285081241,0.1535119479,0.4037020714,0.9661016949,6
Harris SDA,2017,Comorbidity Index,1.5210084034,0.4608463408,3.5450516987,2.3239802076,4.9907448215,4.3834745763,7
Harris SDA,2018,N,763.0,59301.0,1106.0,20230.0,2936.0,212.0,0
Harris SDA,2018,Age,12.587745662,10.205821583,38.04196237,27.620540969,59.748662444,66.262595806,1
Harris SDA,2018,Female,0.5347313237,0.4950169474,0.4430379747,0.4642609985,0.6410081744,0.6556603774,2
Harris SDA,2018,White,0.2988204456,0.1400145023,0.2251356239,0.1379634207,0.1917574932,0.141509434,3
Harris SDA,2018,Black,0.2608125819,0.1755788267,0.2992766727,0.2083044983,0.3453678474,0.391509434,4
Harris SDA,2018,FFS,0.0183486239,0.0072005531,0.0994575045,0.078843302,0.1416893733,0.0188679245,5
Harris SDA,2018,Dual Eligible,0.0,0.000134905,0.1528028933,0.1283242709,0.4352861035,0.8962264151,6
Harris SDA,2018,Comorbidity Index,1.4600262123,0.4172105024,3.7730560579,2.0998517054,4.8089237057,4.6462264151,7
Hidalgo SDA,2013,N,798.0,4177.0,608.0,3983.0,55.0,,0
Hidalgo SDA,2013,Age,11.367681631,10.741295111,21.763717187,25.634712662,62.566546353,,1
Hidalgo SDA,2013,Female,0.4360902256,0.4390711037,0.3667763158,0.4406226462,0.5090909091,,2
Hidalgo SDA,2013,White,0.0100250627,0.0110126885,0.0493421053,0.0615114236,0.2181818182,,3
Hidalgo SDA,2013,Black,0.0050125313,0.0014364376,0.0016447368,0.0022596033,0.0,,4
Hidalgo SDA,2013,FFS,0.037593985,0.0564998803,0.4934210526,0.4930956565,0.1090909091,,5
Hidalgo SDA,2013,Dual Eligible,0.0,0.0002394063,0.0493421053,0.1471252825,0.8363636364,,6
Hidalgo SDA,2013,Comorbidity Index,1.1303258145,0.6787167824,2.2368421053,2.0622646247,8.3272727273,,7
Hidalgo SDA,2014,N,968.0,2662.0,572.0,3115.0,2156.0,74.0,0
Hidalgo SDA,2014,Age,11.345568104,10.640676109,26.242762349,24.636083599,68.300015314,72.09067721,1
Hidalgo SDA,2014,Female,0.4421487603,0.4853493614,0.4300699301,0.4080256822,0.6312615955,0.7297297297,2
Hidalgo SDA,2014,White,0.0175619835,0.0146506386,0.0769230769,0.0577849117,0.1706864564,0.1351351351,3
Hidalgo SDA,2014,Black,0.0020661157,0.0026296018,0.0017482517,0.002247191,0.0013914657,0.0,4
Hidalgo SDA,2014,FFS,0.0330578512,0.0589782119,0.4615384615,0.5377207063,0.0895176252,0.0,5
Hidalgo SDA,2014,Dual Eligible,0.0,0.0,0.0996503497,0.1264847512,0.7653061224,1.0,6
Hidalgo SDA,2014,Comorbidity Index,1.194214876,0.6758076634,2.3688811189,2.0520064205,4.8246753247,7.1216216216,7
Hidalgo SDA,2015,N,1081.0,4024.0,663.0,3359.0,3983.0,638.0,0
Hidalgo SDA,2015,Age,11.074671525,10.794803604,27.942413446,30.673361358,68.743021746,73.796521913,1
Hidalgo SDA,2015,Female,0.4449583719,0.5141650099,0.4600301659,0.476927657,0.6429826764,0.6661442006,2
Hidalgo SDA,2015,White,0.0277520814,0.0156560636,0.0512820513,0.0607323608,0.1556615616,0.1833855799,3
Hidalgo SDA,2015,Black,0.0027752081,0.0012425447,0.0075414781,0.0026793689,0.0012553352,0.0,4
Hidalgo SDA,2015,FFS,0.0231267345,0.0116799205,0.4781297134,0.4528133373,0.1262867186,0.0109717868,5
Hidalgo SDA,2015,Dual Eligible,0.0,0.0002485089,0.1583710407,0.1982732956,0.7888526237,0.9796238245,6
Hidalgo SDA,2015,Comorbidity Index,1.1443108233,0.6975646123,2.5369532428,2.6894909199,5.0454431333,5.9012539185,7
Hidalgo SDA,2016,N,1347.0,5584.0,1295.0,3590.0,5399.0,1178.0,0
Hidalgo SDA,2016,Age,11.188537421,10.689715184,31.685583256,26.233178443,68.550534852,74.467378482,1
Hidalgo SDA,2016,Female,0.4610244989,0.4896131805,0.4586872587,0.4473537604,0.6343767364,0.6595925297,2
Hidalgo SDA,2016,White,0.0244988864,0.0186246418,0.0555984556,0.0362116992,0.1270605668,0.1349745331,3
Hidalgo SDA,2016,Black,0.002969562,0.0021489971,0.0015444015,0.0016713092,0.0001852195,0.0,4
Hidalgo SDA,2016,FFS,0.013363029,0.0118194842,0.3791505792,0.5454038997,0.137062419,0.0067911715,5
Hidalgo SDA,2016,Dual Eligible,0.0,0.0,0.1907335907,0.1381615599,0.7742174477,0.9915110357,6
Hidalgo SDA,2016,Comorbidity Index,1.0861172977,0.638252149,3.2803088803,2.5587743733,5.3000555658,6.9482173175,7
Hidalgo SDA,2017,N,1609.0,5340.0,982.0,3620.0,14067.0,2062.0,0
Hidalgo SDA,2017,Age,11.023244174,10.684082324,29.462474744,25.724704582,69.095653644,73.794793076,1
Hidalgo SDA,2017,Female,0.4648850218,0.4928838951,0.4358452138,0.4417127072,0.6249377977,0.6537342386,2
Hidalgo SDA,2017,White,0.015537601,0.0196629213,0.0437881874,0.0403314917,0.1186464776,0.1348205626,3
Hidalgo SDA,2017,Black,0.0024860162,0.0026217228,0.0010183299,0.0005524862,0.0006397953,0.0004849661,4
Hidalgo SDA,2017,FFS,0.0323182101,0.0196629213,0.1252545825,0.5348066298,0.1460865856,0.009699321,5
Hidalgo SDA,2017,Dual Eligible,0.0,0.0,0.1323828921,0.1198895028,0.7914978318,0.9961202716,6
Hidalgo SDA,2017,Comorbidity Index,1.0130515848,0.6198501873,2.7138492872,2.3511049724,4.8677756451,5.4689621726,7
Hidalgo SDA,2018,N,1903.0,5673.0,927.0,3094.0,16915.0,3460.0,0
Hidalgo SDA,2018,Age,11.112385631,10.686705374,27.002988287,25.467928419,68.731423194,74.411923655,1
Hidalgo SDA,2018,Female,0.4566473988,0.4736471003,0.4185544768,0.4628312864,0.6381318356,0.6751445087,2
Hidalgo SDA,2018,White,0.027850762,0.0213291028,0.0399137001,0.0429864253,0.1067691398,0.1242774566,3
Hidalgo SDA,2018,Black,0.0031529164,0.0019390093,0.0010787487,0.0009696186,0.0012415016,0.0011560694,4
Hidalgo SDA,2018,FFS,0.0084077772,0.009166226,0.0582524272,0.0627020039,0.1467927875,0.0057803468,5
Hidalgo SDA,2018,Dual Eligible,0.0,0.0003525472,0.1218985976,0.136716225,0.7750517292,0.9968208092,6
Hidalgo SDA,2018,Comorbidity Index,1.0325801366,0.6183677067,2.6914778857,2.3729799612,4.7320130062,5.2563583815,7
